City,Latitude,Longitude
Jamestown,37.883131,-120.419802
,,
Kelseyville,38.930811,-122.793699
,,
King City,36.201898,-121.05232
,,
Knights Landing,38.858483,-121.772472
,,
Lakeport,39.05345,-122.919291
,,
Lamanda Park,34.14806,-118.0939
,,
Lathrop,37.811976,-121.287362
,,
Lemoore,36.268194,-119.817274
,,
Lincoln,38.929305,-121.327143
,,
Live Oak,39.236141,-121.767177
,,
Livermore,37.526661,-121.583391
,,
Lockeford,38.15084,-121.15544
,,
Lodi,38.111356,-121.172415
,,
Lompoc,34.629464,-120.336594
,,
Long Beach,33.804309,-118.200957
,,
Los Alamitos,33.795012,-118.062692
,,
Los Alamos,34.745715,-120.204944
,,
Los Angeles,33.973951,-118.248405
,,
Los Banos,37.103768,-120.847479
,,
Los Gatos,37.222788,-121.983274
,,
Lower Lake,38.89699,-122.625621
,,
Madera,36.928286,-120.182423
,,
Madison,38.67935,-121.9683
,,
Martinez,37.986421,-122.134976
,,
Marysville,39.14573,-121.59135
,,
Maxwell,39.2847,-122.210089
,,
Mayfield,37.426,-122.142
,,
Mendocino,39.319949,-123.734377
,,
Menlo Park,37.439616,-122.186373
,,
Merced,37.345785,-120.42415
,,
Middletown,38.75565,-122.62835
,,
Milpitas,37.436454,-121.861989
,,
Milton,38.031868,-120.852158
,,
Mission San Jose,37.189396,-121.705327
,,
Modesto,37.669463,-121.016796
,,
Mojave,35.038066,-118.31596
,,
Mokelumne Hill,38.29138,-120.571875
,,
Monrovia,34.1528,-118.000482
,,
Montague,41.757491,-122.196783
,,
Monterey,36.57485,-121.840727
,,
Mountain View,37.189396,-121.705327
,,
Napa,38.442011,-122.23832
,,
National City,32.671194,-117.084353
,,
Needles,34.84806,-114.61413
,,
Neveda City,39.299606,-120.887965
,,
,,
Newcastle,38.87407,-121.13328
,,
Newhall,34.36811,-118.489037
,,
Newman,37.340337,-121.213529
,,
Niles,37.5837,-121.9871
,,
Nipomo,35.048397,-120.494812
,,
Norwalk,33.906763,-118.076549
,,
Oakdale,37.839643,-120.698578
,,
Oakland,37.786027,-122.223779
,,
Ocean View,37.7156,-117.9887
,,
Oceanside,33.016928,-116.846046
,,
Ontario,34.05936,-117.6203
,,
Orange,33.640302,-117.769442
,,
Orland,39.74738,-122.19637
,,
Oroville,39.578352,-121.58212
,,
Pacific Grove,36.61774,-121.91662
,,
Palo Alto,37.444122,-122.149915
,,
Pasadena,33.786594,-118.298662
,,
Paso Robles,35.640598,-120.700313
,,
Perris,33.787292,-117.320674
,,
Petaluma,38.265366,-122.822588
,,
Placerville,38.730224,-120.797149
,,
Pleasanton,37.646081,-121.862128
,,
Plymouth,38.486559,-120.86184
,,
Point Arerna,40.467923,-123.168637
,,
Pomona,34.042286,-117.756106
,,
Port Costa,38.04697,-122.193028
,,
Porterville,35.973777,-118.703592
,,
Princeton,39.379166,-122.095709
,,
Quartz Mountain,37.927981,-120.420751
,,
Red Bluff,40.142907,-122.340888
,,
Redding,40.600342,-122.455016
,,
Redlands,34.011935,-117.159696
,,
Redondo Beach,33.830006,-118.387124
,,
Redwood City,37.381144,-122.334825
,,
Reedley,36.669807,-119.398857
,,
Rialto,34.111606,-117.377406
,,
Rio Vista,38.209069,-121.777874
,,
Riverside,33.99504,-117.373184
,,
Rocklin,38.801233,-121.230374
,,
Roseville,38.74073,-121.25603
,,
Sacramento,38.380456,-121.555406
,,
Saint Helena,38.537757,-122.401289
,,
Salinas,36.64152,-121.622188
,,
San Andreas,38.190106,-120.616052
,,
San Bernardino,34.104794,-117.29215
,,
San Buenaventura,34.278335,-119.293168
,,
San Diego,32.724103,-117.170912
,,
San Francisco,37.776646,-122.417481
,,
San Jacinto,33.752886,-116.055617
,,
San Jose,37.189396,-121.705327
,,
San Leandro,37.715629,-122.158621
,,
San Lucas,36.12835,-121.02173
,,
San Luis Obispo,35.265573,-120.62122
,,
San Mateo,37.573485,-122.32253
,,
San Miguel,35.75327,-120.69251
,,
San Pedro,33.753088,-118.253053
,,
San Rafael,37.970948,-122.504286
,,
Sanger,36.70801,-119.55597
,,
Santa Ana,33.74822,-117.858473
,,
Santa Barbara,34.421897,-119.707135
,,
Santa Clara,37.351158,-121.952295
,,
Santa Cruz,37.052748,-122.111126
,,
Santa Margarita,35.358427,-120.259602
,,
Santa Maria,34.875832,-120.340795
,,
Santa Monica,34.013666,-118.49375
,,
Santa Paula,34.364943,-119.085704
,,
Santa Rosa,38.450412,-122.783159
,,
Santa Ynez,34.646136,-120.091629
,,
Sausalito,37.850417,-122.531423
,,
Sebastopol,38.407222,-122.869654
,,
Selma,36.57078,-119.61208
,,
Sherman,34.1509,-118.4487
,,
Sierra Madre,34.168771,-118.050216
,,
Sierraville,39.582462,-120.371073
,,
Sisson,35.187133,-117.885359
,,
Snelling,37.483708,-120.463408
,,
Soledad,36.449485,-121.368127
,,
Solvang,34.648841,-120.170111
,,
Sonoma,38.255943,-122.476819
,,
Sonora,37.96091,-120.343863
,,
Soquel,37.031948,-121.94972
,,
South Riverside,33.99504,-117.373184
,,
South San Francisco,37.657443,-122.423483
,,
Spreckels,36.62472,-121.64648
,,
Stege,35.187133,-117.885359
,,
Stent,37.9177,-120.4133
,,
Stirling City,39.875599,-121.536315
,,
Stockton,37.672196,-121.298794
,,
Suisun,38.2382,-122.0402
,,
Sumner,36.9556,-119.7492
,,
Susanville,40.446063,-120.664132
,,
Sutter Creek,38.436584,-120.742839
,,
Tehachapi,35.118772,-118.493811
,,
Tehama,40.0271,-122.12332
,,
Templeton,35.517781,-120.65385
,,
Tiburon,37.873538,-122.456639
,,
Tipton,36.05835,-119.313
,,
Tracy,37.737191,-121.433384
,,
Traver,36.45267,-119.48238
,,
Tres Pinos,36.761702,-121.274795
,,
Truckee,39.3781,-120.186383
,,
Tulare,36.133527,-119.299856
,,
Turlock,37.474396,-120.875918
,,
Tustin,33.73401,-117.819157
,,
Ukiah,39.15017,-123.20778
,,
Upper Lake,39.14551,-122.89907
,,
Vacaville,38.333133,-121.920151
,,
Vallejo,38.18735,-122.224074
,,
Valley Spring,38.18371,-120.81502
,,
Vina,39.927203,-122.025047
,,
Visalia,36.303793,-119.375646
,,
Walnut Creek,37.873343,-122.070625
,,
Walnut Grove,38.2559,-121.50835
,,
Wasco,35.59412,-119.34095
,,
Waterford,37.659644,-120.775617
,,
Watsonville,36.98025,-121.74696
,,
Watts,33.940571,-118.24285
,,
Weaverville,40.704907,-122.956559
,,
Weed,41.42265,-122.38613
,,
Westmoreland,33.037976,-115.591387
,,
Westport,39.660425,-123.786385
,,
Wheatland,39.00989,-121.42301
,,
Whittier,34.004311,-118.0441
,,
Williams,39.142737,-122.243739
,,
Willows,39.519386,-122.292996
,,
Wilmington,33.779417,-118.253853
,,
Winters,38.52491,-121.9708
,,
Woodbridge,38.157962,-121.314909
,,
Woodland,38.74388,-121.915653
,,
Yolo,38.73185,-121.80774
,,
Yreka,41.73542,-122.63447
,,
Yuba City,39.048854,-121.612481
